Country,Region-Geo,Continent,Region,Year,IncomePerPerson,LifeExpectancy,PopulationTotal
Burkina Faso,Africa - Western,Africa,Sub-Saharan Africa,1968,1621.521961,38.207,5584807
Burundi,Africa - Eastern,Africa,Sub-Saharan Africa,1968,800.0517876,43.519,3406650
Cambodia,Asia - South Eastern,Asia,East Asia & Pacific,1968,2549.272381,42.621,6657435
Cameroon,Africa - Central,Africa,Sub-Saharan Africa,1968,3151.743502,45.111,6503500
Canada,America - North,North America,America,1968,33316.42656,72.29,20931716
Cayman Islands,America - Central,Central and South America,America,1968,39148.05275,,9002
Central African Republic,America - Central,Central and South America,Sub-Saharan Africa,1968,2244.415401,40.523,1755258
Chad,Africa - Central,Africa,Sub-Saharan Africa,1968,2331.701887,40.435,3499681
Channel Islands,Europe - Northern,Europe,Europe & Central Asia,1968,,71.623,118676
Chile,America - South,Central and South America,America,1968,10378.96058,60.874,9220343
China,Asia - Eastern,Asia,East Asia & Pacific,1968,1445.19169,59.4052,769666505
Colombia,America - South,Central and South America,America,1968,5541.291555,60.226,20225830
Comoros,Africa - Eastern,Africa,Sub-Saharan Africa,1968,3655.792792,46.754,227075
Cook Islands,Oceania,Oceania,East Asia & Pacific,1968,,,
Costa Rica,America - Central,Central and South America,America,1968,8692.668519,65.829,1727922
Cote d'Ivoire,Africa - Western,Africa,Sub-Saharan Africa,1968,4516.956509,42.123,4984378
Croatia,Europe - Southern,Europe,Europe & Central Asia,1968,14095.03728,67.716,4148285
Cuba,America - Central,Central and South America,America,1968,10531.53091,68.745,8401476
Cyprus,Asia - Western,Asia,Europe & Central Asia,1968,11707.65988,72.052,598592
Czech Republic,Europe - Eastern,Europe,Europe & Central Asia,1968,23786.09,69.94,9743100
Denmark,Europe - Northern,Europe,Europe & Central Asia,1968,31412.98453,73.17,4863983
Djibouti,Africa - Eastern,Africa,Middle East & North Africa,1968,5999.155776,47.814,142320
Dominica,America - Central,Central and South America,America,1968,5372.931733,,69041
Dominican Republic,America - Central,Central and South America,America,1968,3215.313657,57.256,4261702
East Germany,Europe - Eastern,Europe,Europe & Central Asia,1968,,,
Ecuador,America - South,Central and South America,America,1968,9380.791747,57,5628565
Egypt,Africa - Northern,Africa,Middle East & North Africa,1968,3612.466883,51.625,34252634
El Salvador,America - Central,Central and South America,America,1968,8691.936449,55.844,3538389
Equatorial Guinea,Africa - Central,Africa,Sub-Saharan Africa,1968,1871.650926,39.149,288703
Eritrea,Africa - Eastern,Africa,Middle East & North Africa,1968,933.7415626,39.781,1752123
Eritrea and Ethiopia,Africa - Eastern,Africa,Middle East & North Africa,1968,,,30308330
Estonia,Europe - Northern,Europe,Europe & Central Asia,1968,14273.7075,70.59,1335846
Ethiopia,Africa - Eastern,Africa,Sub-Saharan Africa,1968,1028.000426,42.357,27476546
Faeroe Islands,Europe - Northern,Europe,Europe & Central Asia,1968,,,37707
Falkland Islands (Malvinas),Europe - Northern,Europe,America,1968,,,
Fiji,Oceania,Oceania,East Asia & Pacific,1968,4581.185945,59.123,498903
Finland,Europe - Northern,Europe,Europe & Central Asia,1968,22245.68566,69.79,4588404
France,Europe - Western,Europe,Europe & Central Asia,1968,28292.2972,71.54,50026522
French Guiana,America - South,Central and South America,America,1968,11567.41224,64.46,44870
French Polynesia,Oceania,Oceania,East Asia & Pacific,1968,31576.42877,59.452,103387
Gabon,Africa - Central,Africa,Sub-Saharan Africa,1968,16973.4132,44.943,514963
Gambia,Africa - Western,Africa,Sub-Saharan Africa,1968,1442.670429,36.178,435647
Georgia,Asia - Western,Asia,Europe & Central Asia,1968,6268.71742,66.809,4622680
Germany,Europe - Western,Europe,Europe & Central Asia,1968,30959.33253,70.771,77477619
Ghana,Africa - Western,Africa,Sub-Saharan Africa,1968,2216.826801,48.768,8310713
Gibraltar,Europe - Southern,Europe,Europe & Central Asia,1968,,,24178
Greece,Europe - Southern,Europe,Europe & Central Asia,1968,17163.26259,70.354,8697173
Greenland,America - North,North America,America,1968,28678.23539,,43809
Grenada,America - Central,Central and South America,America,1968,3974.724706,63.181,94846
Guadeloupe,America - Central,Central and South America,America,1968,7030.949678,63.908,313303
Guam,Oceania,Oceania,East Asia & Pacific,1968,,64.804,81598
Guatemala,America - Central,Central and South America,America,1968,6932.10636,50.561,5162058
Guernsey,Europe - Northern,Europe,Europe & Central Asia,1968,31747.02906,,52099
Guinea,Africa - Western,Africa,Sub-Saharan Africa,1968,1432.581459,36.222,4034827
Guinea-Bissau,Africa - Western,Africa,Sub-Saharan Africa,1968,1525.518694,43.728,594145
Guyana,America - South,Central and South America,America,1968,4605.221458,59.205,692968
Haiti,America - Central,Central and South America,America,1968,2955.168932,46.43,4535485
Holy See,Europe - Southern,Europe,Europe & Central Asia,1968,,,715
Honduras,America - Central,Central and South America,America,1968,5189.196346,51.321,2549206
Hong Kong China,Asia - Eastern,Asia,East Asia & Pacific,1968,12539.55775,,
Hungary,Europe - Eastern,Europe,Europe & Central Asia,1968,18806.368,69.33,10241753
Iceland,Europe - Northern,Europe,Europe & Central Asia,1968,24882.87745,73.94,199273
India,Asia - Southern,Asia,South Asia,1968,1478.236226,47.394,529658233
Indonesia,Asia - South Eastern,Asia,East Asia & Pacific,1968,1654.571203,50.974,112461009
Iran,Asia - Southern,Asia,Middle East & North Africa,1968,12237.56927,49.505,27173692
Iraq,Asia - Western,Asia,Middle East & North Africa,1968,19522.65024,56.723,9367055
Ireland,Europe - Northern,Europe,Europe & Central Asia,1968,16506.2144,70.93,2915420
Isle of Man,Europe - Northern,Europe,Europe & Central Asia,1968,16597.2704,,54294
Israel,Asia - Western,Asia,Middle East & North Africa,1968,18977.46606,70.812,2711274
Italy,Europe - Southern,Europe,Europe & Central Asia,1968,21388.14963,70.88,52584254
Jamaica,America - Central,Central and South America,America,1968,12656.67917,67.686,1824153
Japan,Asia - Eastern,Asia,East Asia & Pacific,1968,21983.99198,71.75,100990902
Jersey,Europe - Northern,Europe,Europe & Central Asia,1968,,,68070
Jordan,Asia - Western,Asia,Middle East & North Africa,1968,4792.786196,58.752,1449985
Kazakhstan,Asia - Central,Asia,Europe & Central Asia,1968,12438.34481,61.848,12682452
Kenya,Africa - Eastern,Africa,Sub-Saharan Africa,1968,2193.082416,51.073,10502123
Kiribati,Oceania,Oceania,East Asia & Pacific,1968,9438.509321,50.521,41574
Kuwait,Asia - Western,Asia,Middle East & North Africa,1968,161004.2829,64.934,641694
Kyrgyzstan,Asia - Central,Asia,Europe & Central Asia,1968,4776.081147,59.768,2814423
Latvia,Europe - Northern,Europe,Europe & Central Asia,1968,10980.44944,70.48,2326027
Lebanon,Asia - Western,Asia,Middle East & North Africa,1968,10630.57348,65.528,2355380
Lesotho,Africa - Southern,Africa,Sub-Saharan Africa,1968,971.1351947,48.651,991576
Liberia,Africa - Western,Africa,Sub-Saharan Africa,1968,1452.706082,38.113,1364046
Libya,Africa - Northern,Africa,Middle East & North Africa,1968,48627.02454,53.921,1833611
Liechtenstein,Europe - Western,Europe,Europe & Central Asia,1968,66294.20215,,20335
Lithuania,Europe - Northern,Europe,Europe & Central Asia,1968,19785.90399,71.61,3071192
Luxembourg,Europe - Western,Europe,Europe & Central Asia,1968,39979.29955,70.28,335573
Macao  China,Asia - Eastern,Asia,East Asia & Pacific,1968,14757.38302,,
Madagascar,Africa - Eastern,Africa,Sub-Saharan Africa,1968,3415.398022,43.796,6216739
Malawi,Africa - Eastern,Africa,Sub-Saharan Africa,1968,953.2271032,39.821,4287627
Malaysia,Asia - South Eastern,Asia,East Asia & Pacific,1968,4833.854469,63.581,10376210
Maldives,Asia - Southern,Asia,South Asia,1968,1341.099589,42.479,110056
Mali,Africa - Western,Africa,Sub-Saharan Africa,1968,1106.485671,31.086,5844286
Malta,Europe - Southern,Europe,Europe & Central Asia,1968,6317.316502,69.971,304047
Marshall Islands,Oceania,Oceania,East Asia & Pacific,1968,9947.147294,,18965
Martinique,America - Central,Central and South America,America,1968,16038.4749,64.926,321649
Mauritania,Africa - Western,Africa,Sub-Saharan Africa,1968,3047.235037,48.185,1070585
Mauritius,Africa - Eastern,Africa,Sub-Saharan Africa,1968,4525.242416,63.041,799329
Mayotte,Africa - Eastern,Africa,Sub-Saharan Africa,1968,,61.068,34087
Mexico,America - Central,Central and South America,America,1968,12073.28118,60.543,48943844
Monaco,Europe - Western,Europe,Europe & Central Asia,1968,36885.16447,,23234
Mongolia,Asia - Eastern,Asia,East Asia & Pacific,1968,2525.037794,54.285,1209647
Montenegro,Europe - Southern,Europe,Europe & Central Asia,1968,11963.76662,68.707,514031
Montserrat,America - Central,Central and South America,America,1968,11046.7448,,11693
Morocco,Africa - Northern,Africa,Middle East & North Africa,1968,3525.238288,51.808,14502647
Mozambique,Africa - Eastern,Africa,Sub-Saharan Africa,1968,1231.797992,38.383,9043165
Myanmar,Asia - South Eastern,Asia,East Asia & Pacific,1968,1382.977758,49.75,24960539
Namibia,Africa - Southern,Africa,Sub-Saharan Africa,1968,7453.237918,51.489,737803
Nauru,Oceania,Oceania,East Asia & Pacific,1968,11729.16212,,6241
Nepal,Asia - Southern,Asia,South Asia,1968,1336.970755,41.64,11403306
Netherlands,Europe - Western,Europe,Europe & Central Asia,1968,28884.97206,73.63,12670558
Netherlands Antilles,Europe - Western,Europe,America,1968,18823.63378,68.411,154502
New Caledonia,Oceania,Oceania,East Asia & Pacific,1968,44740.11111,61.334,98617
New Zealand,Oceania,Oceania,East Asia & Pacific,1968,28558.24578,71.18,2738299
Nicaragua,America - Central,Central and South America,America,1968,9118.880982,52.336,2256800
Niger,Africa - Western,Africa,Sub-Saharan Africa,1968,2080.251568,36.073,4119299
Nigeria,Africa - Western,Africa,Sub-Saharan Africa,1968,978.6826141,40.4,54748444
Niue,Oceania,Oceania,East Asia & Pacific,1968,,,5239
North Korea,Asia - Eastern,Asia,East Asia & Pacific,1968,,,
Northern Mariana Islands,Oceania,Oceania,East Asia & Pacific,1968,5834.354247,,12318
Norway,Europe - Northern,Europe,Europe & Central Asia,1968,15456.44256,73.96,3816102
Oman,Asia - Western,Asia,Middle East & North Africa,1968,8348.983868,48.858,685892
Pakistan,Asia - Southern,Asia,South Asia,1968,981.7547938,52.405,56257610
Palau,Oceania,Oceania,East Asia & Pacific,1968,24065.49605,,11206
Panama,America - Central,Central and South America,America,1968,4607.852306,64.593,1425871
Papua New Guinea,Oceania,Oceania,East Asia & Pacific,1968,1543.6843,44.499,2312978
Paraguay,America - South,Central and South America,America,1968,2318.866664,65.17,2358072
Peru,America - South,Central and South America,America,1968,5568.881524,51.969,12473584
Philippines,Asia - South Eastern,Asia,East Asia & Pacific,1968,1848.05358,60.27,33463836
Poland,Europe - Eastern,Europe,Europe & Central Asia,1968,6900.037897,70.25,32008949
Portugal,Europe - Southern,Europe,Europe & Central Asia,1968,6918.30301,66.91,8722574
Puerto Rico,America - Central,Central and South America,America,1968,7191.445931,70.907,2661527
Qatar,Asia - Western,Asia,Middle East & North Africa,1968,61119.01586,67.039,92319
Romania,Europe - Eastern,Europe,Europe & Central Asia,1968,6461.499881,67.747,19744551
Russian Federation,Europe - Eastern,Europe,Europe & Central Asia,1968,9176.975335,69.26,129102954
Rwanda,Africa - Eastern,Africa,Sub-Saharan Africa,1968,531.6154808,44.165,3526088
Saint Helena,Africa - Western,Africa,Sub-Saharan Africa,1968,1863.190202,,4791
Saint Kitts and Nevis,America - Central,Central and South America,America,1968,2752.473752,,46398
Saint Lucia,America - Central,Central and South America,America,1968,2880.110775,61.962,101385
Saint Vincent and the Grenadines,America - Central,Central and South America,America,1968,2129.525746,64.29,88623
Saint-Pierre-et-Miquelon,America - North,North America,America,1968,,,5291
Samoa,Oceania,Oceania,East Asia & Pacific,1968,3451.459727,53.774,136856
San Marino,Europe - Southern,Europe,Europe & Central Asia,1968,16958.46398,,18588
Sao Tome and Principe,Africa - Central,Africa,Sub-Saharan Africa,1968,1440.23876,54.71,69646
Saudi Arabia,Asia - Western,Asia,Middle East & North Africa,1968,17910.56394,50.743,5329207
Senegal,Africa - Western,Africa,Sub-Saharan Africa,1968,1668.22492,38.558,3843517
Serbia,Europe - Southern,Europe,Europe & Central Asia,1968,8091.852627,66.946,8054147
Seychelles,Africa - Eastern,Africa,Sub-Saharan Africa,1968,6044.751327,64.757,49535
Sierra Leone,Africa - Western,Africa,Sub-Saharan Africa,1968,1304.023132,33.098,2501620
Singapore,Asia - South Eastern,Asia,East Asia & Pacific,1968,5566.626571,67.479,1998650
Slovak Republic,Europe - Eastern,Europe,Europe & Central Asia,1968,8777.18413,70.5,4444651
Slovenia,Europe - Southern,Europe,Europe & Central Asia,1968,9523.351327,69.261,1652157
Solomon Islands,Oceania,Oceania,East Asia & Pacific,1968,1324.794265,53.227,154000
Somalia,Africa - Eastern,Africa,Sub-Saharan Africa,1968,1278.432413,40.179,3442418
South Africa,Africa - Southern,Africa,Sub-Saharan Africa,1968,7256.575637,52.104,21374801
South Sudan,Africa - Eastern,Africa,Sub-Saharan Africa,1968,1753.217766,35.023,2866074
Spain,Europe - Southern,Europe,Europe & Central Asia,1968,8374.242965,71.73,33098047
Sri Lanka,Asia - Southern,Asia,South Asia,1968,1192.496077,63.158,12018646
Sudan,Africa - Northern,Africa,Sub-Saharan Africa,1968,1744.145488,51.466,11142482
Suriname,America - South,Central and South America,America,1968,4746.51589,62.599,360486
Swaziland,Africa - Southern,Africa,Sub-Saharan Africa,1968,2428.328658,46.982,422152
Sweden,Europe - Northern,Europe,Europe & Central Asia,1968,16136.68748,74.03,7929066
Switzerland,Europe - Western,Europe,Europe & Central Asia,1968,23522.13088,72.72,6056165
Taiwan,Asia - Eastern,Asia,East Asia & Pacific,1968,3243.558274,67.6,13962000
Tajikistan,Asia - Central,Asia,Europe & Central Asia,1968,3986.594849,59.44,2765317
Thailand,Asia - South Eastern,Asia,East Asia & Pacific,1968,1361.448726,58.654,34799247
Timor-Leste,Asia - South Eastern,Asia,East Asia & Pacific,1968,1099.701417,38.326,579184
Togo,Africa - Western,Africa,Sub-Saharan Africa,1968,1511.874905,45.339,1931480
Tokelau,Oceania,Oceania,East Asia & Pacific,1968,,,1738
Tonga,Oceania,Oceania,East Asia & Pacific,1968,1763.79825,64.214,81096
Trinidad and Tobago,America - Central,Central and South America,America,1968,5895.02905,64.892,939413
Tunisia,Africa - Northern,Africa,Middle East & North Africa,1968,2088.68455,48.867,4923201
Turkey,Asia - Western,Asia,Europe & Central Asia,1968,3363.338744,51.057,33982141
Turkmenistan,Asia - Central,Asia,Europe & Central Asia,1968,5863.007184,57.79,2066889
Turks and Caicos Islands,America - Central,Central and South America,America,1968,4654.400274,,5563
Tuvalu,Oceania,Oceania,East Asia & Pacific,1968,2280.72511,,7128
Uganda,Africa - Eastern,Africa,Sub-Saharan Africa,1968,904.5963414,48.256,8866641
Ukraine,Europe - Eastern,Europe,Europe & Central Asia,1968,5697.746421,71.59,46573376
United Arab Emirates,Asia - Western,Asia,Middle East & North Africa,1968,11603.48738,60.038,180858
United Kingdom,Europe - Western,Europe,Europe & Central Asia,1968,14651.00736,71.79,55212835
United States of America,America - North,North America,America,1968,23268.21419,70.42,205672498
Uruguay,America - South,Central and South America,America,1968,5475.229744,68.576,2774109
Uzbekistan,Asia - Central,Asia,Europe & Central Asia,1968,2056.69608,62.286,11253870
Vanuatu,Oceania,Oceania,East Asia & Pacific,1968,2150.928915,51.217,80672
Venezuela,America - South,Central and South America,America,1968,9904.458467,63.979,10003238
Vietnam,Asia - Southern,Asia,East Asia & Pacific,1968,609.8831494,61.214,42893258
Wallis et Futuna,Oceania,Oceania,East Asia & Pacific,1968,2191.212382,,9026
West Bank and Gaza Strip,Asia - Western,Asia,Middle East & North Africa,1968,2750.957407,54.374,1140772
Western Sahara,Africa - Northern,Africa,Middle East & North Africa,1968,,41.316,69339
Yemen,Asia - Western,Asia,Middle East & North Africa,1968,,,
Zambia,Africa - Eastern,Africa,Sub-Saharan Africa,1968,1753.08087,48.131,3880914
Zimbabwe,Africa - Eastern,Africa,Sub-Saharan Africa,1968,561.2217442,54.279,4874043
Afghanistan,Asia - Southern,Asia,South Asia,1972,2219.943317,37.614,12593688
Albania,Europe - Southern,Europe,Europe & Central Asia,1972,9940.266564,67.595,2241623
Algeria,Africa - Northern,Africa,Middle East & North Africa,1972,12547.9913,51.195,14600659
American Samoa,Oceania,Oceania,East Asia & Pacific,1972,18574.91232,,28470
Andorra,Europe - Southern,Europe,Europe & Central Asia,1972,99240.02469,,26997
Angola,Africa - Central,Africa,Sub-Saharan Africa,1972,16419.86401,37.846,6179685
Anguilla,America - Central,Central and South America,America,1972,18094.66146,,6506
Antigua and Barbuda,America - Central,Central and South America,America,1972,13001.2336,66.558,67419
Argentina,America - South,Central and South America,America,1972,28329.11558,67.044,24791983
Armenia,Asia - Western,Asia,Europe & Central Asia,1972,7959.940202,70.604,2643464
Aruba,America - Central,Central and South America,America,1972,14819.27402,69.851,59849
Australia,Oceania,Oceania,East Asia & Pacific,1972,50365.88845,71.93,13236895
Austria,Europe - Western,Europe,Europe & Central Asia,1972,49984.8768,70.63,7526469
Azerbaijan,Asia - Western,Asia,Europe & Central Asia,1972,8242.766059,65.457,5387375
Bahamas,America - Central,Central and South America,America,1972,36304.87526,66.49,177849
Bahrain,Asia - Western,Asia,Middle East & North Africa,1972,36537.31677,65.043,228255
Bangladesh,Asia - Southern,Asia,South Asia,1972,1260.467253,46.874,68461849
Barbados,America - Central,Central and South America,America,1972,19707.61275,65.863,241345
Belarus,Europe - Eastern,Europe,Europe & Central Asia,1972,9235.762059,72.67,9181971
Belgium,Europe - Western,Europe,Europe & Central Asia,1972,33344.28712,71.44,9696539
Belize,America - Central,Central and South America,America,1972,5233.393158,66.504,127389
Benin,Africa - Western,Africa,Sub-Saharan Africa,1972,2171.593757,43.513,2971515
Bermuda,America - North,North America,America,1972,81648.49487,,52831
Bhutan,Asia - Southern,Asia,South Asia,1972,1615.245172,38.476,324815
Bolivia,America - South,Central and South America,America,1972,5960.662677,46.563,4426012
Bosnia and Herzegovina,Europe - Southern,Europe,Europe & Central Asia,1972,5720.339501,67.308,3636930
Botswana,America - South,Africa,Sub-Saharan Africa,1972,4527.222227,56.027,739683
Brazil,America - South,Central and South America,America,1972,9971.422934,59.644,100828667
British Virgin Islands,America - Central,Central and South America,America,1972,5757.009956,,10134
Brunei,Asia - South Eastern,Asia,East Asia & Pacific,1972,108234.3181,68.025,137181
Bulgaria,Europe - Eastern,Europe,Europe & Central Asia,1972,13194.9888,70.9,8590839
Burkina Faso,Africa - Western,Africa,Sub-Saharan Africa,1972,1709.471953,40.003,6044303
Burundi,Africa - Eastern,Africa,Sub-Saharan Africa,1972,928.1990079,44.236,3577187
Cambodia,Asia - South Eastern,Asia,East Asia & Pacific,1972,2186.831068,36.682,7118136
Cameroon,Africa - Central,Africa,Sub-Saharan Africa,1972,3368.293056,47.159,7210272
Canada,America - North,North America,America,1972,37941.14172,72.88,22344104
Cayman Islands,America - Central,Central and South America,America,1972,43440.25671,,10581
Central African Republic,America - Central,Central and South America,Sub-Saharan Africa,1972,2140.026551,43.539,1900723
Chad,Africa - Central,Africa,Sub-Saharan Africa,1972,2208.207974,42.229,3834574
Channel Islands,Europe - Northern,Europe,Europe & Central Asia,1972,,72.02,123534
Chile,America - South,Central and South America,America,1972,10988.04887,63.266,9925950
China,Asia - Eastern,Asia,East Asia & Pacific,1972,1881.679927,63.11888,857804035
Colombia,America - South,Central and South America,America,1972,6529.320083,61.591,22381887
Comoros,Africa - Eastern,Africa,Sub-Saharan Africa,1972,3875.155351,48.68,249000
Cook Islands,Oceania,Oceania,East Asia & Pacific,1972,,,
Costa Rica,America - Central,Central and South America,America,1972,10236.29388,67.806,1908913
Cote d'Ivoire,Africa - Western,Africa,Sub-Saharan Africa,1972,4756.402222,45.351,5909848
Croatia,Europe - Southern,Europe,Europe & Central Asia,1972,18328.18025,68.969,4201302
Cuba,America - Central,Central and South America,America,1972,10610.89051,70.79,9010586
Cyprus,Asia - Western,Asia,Europe & Central Asia,1972,15249.17714,73.067,628140
Czech Republic,Europe - Eastern,Europe,Europe & Central Asia,1972,26216.9072,70.29,9855516
Denmark,Europe - Northern,Europe,Europe & Central Asia,1972,36119.55515,73.47,4987806
Djibouti,Africa - Eastern,Africa,Middle East & North Africa,1972,7388.424704,50.442,181622
Dominica,America - Central,Central and South America,America,1972,6237.210465,,71737
Dominican Republic,America - Central,Central and South America,America,1972,4379.748999,59.565,4764319
East Germany,Europe - Eastern,Europe,Europe & Central Asia,1972,,,
Ecuador,America - South,Central and South America,America,1972,10561.98942,58.652,6333049
Egypt,Africa - Northern,Africa,Middle East & North Africa,1972,4048.016294,52.926,37577248
El Salvador,America - Central,Central and South America,America,1972,9040.492016,56.917,3937757
Equatorial Guinea,Africa - Central,Africa,Sub-Saharan Africa,1972,1344.824514,40.352,274893
Eritrea,Africa - Eastern,Africa,Middle East & North Africa,1972,1028.648416,41.26,1946213
Eritrea and Ethiopia,Africa - Eastern,Africa,Middle East & North Africa,1972,,,33030559
Estonia,Europe - Northern,Europe,Europe & Central Asia,1972,15483.76978,70.35,1394029
Ethiopia,Africa - Eastern,Africa,Sub-Saharan Africa,1972,1132.487888,43.471,30642920
Faeroe Islands,Europe - Northern,Europe,Europe & Central Asia,1972,,,39288
Falkland Islands (Malvinas),Europe - Northern,Europe,America,1972,,,
Fiji,Oceania,Oceania,East Asia & Pacific,1972,5595.518968,60.546,542846
Finland,Europe - Northern,Europe,Europe & Central Asia,1972,28717.7518,70.87,4644371
France,Europe - Western,Europe,Europe & Central Asia,1972,33681.10832,72.38,51572812
French Guiana,America - South,Central and South America,America,1972,13802.33516,65.706,51945
French Polynesia,Oceania,Oceania,East Asia & Pacific,1972,29134.31248,60.836,118303
Gabon,Africa - Central,Africa,Sub-Saharan Africa,1972,22803.89681,48.316,551811
Gambia,Africa - Western,Africa,Sub-Saharan Africa,1972,1512.173673,39.556,487790
Georgia,Asia - Western,Asia,Europe & Central Asia,1972,7482.452143,68.086,4791473
Germany,Europe - Western,Europe,Europe & Central Asia,1972,36032.36054,71.01,78549958
Ghana,Africa - Western,Africa,Sub-Saharan Africa,1972,2356.447416,49.911,9167822
Gibraltar,Europe - Southern,Europe,Europe & Central Asia,1972,,,24985
Greece,Europe - Southern,Europe,Europe & Central Asia,1972,24259.60611,71.576,8870711
Greenland,America - North,North America,America,1972,37352.04846,,48209
Grenada,America - Central,Central and South America,America,1972,4809.167875,64.462,93896
Guadeloupe,America - Central,Central and South America,America,1972,7634.917268,65.993,325123
Guam,Oceania,Oceania,East Asia & Pacific,1972,,66.473,89350
Guatemala,America - Central,Central and South America,America,1972,8062.816542,53.436,5752386
Guernsey,Europe - Northern,Europe,Europe & Central Asia,1972,35622.67448,,53818
Guinea,Africa - Western,Africa,Sub-Saharan Africa,1972,1483.332461,37.255,4228217
Guinea-Bissau,Africa - Western,Africa,Sub-Saharan Africa,1972,1640.449175,44.363,628890
Guyana,America - South,Central and South America,America,1972,4878.292811,59.687,735823
Haiti,America - Central,Central and South America,America,1972,3308.913892,47.915,4877645
Holy See,Europe - Southern,Europe,Europe & Central Asia,1972,,,660
Honduras,America - Central,Central and South America,America,1972,5059.684689,53.763,2841609
Hong Kong China,Asia - Eastern,Asia,East Asia & Pacific,1972,16631.85629,,
Hungary,Europe - Eastern,Europe,Europe & Central Asia,1972,20337.31223,69.76,10393745
Iceland,Europe - Northern,Europe,Europe & Central Asia,1972,31596.12724,74.46,209722
India,Asia - Southern,Asia,South Asia,1972,1515.708895,50.281,579871075
Indonesia,Asia - South Eastern,Asia,East Asia & Pacific,1972,2222.215814,53.746,124507744
Iran,Asia - Southern,Asia,Middle East & North Africa,1972,17970.00228,52.561,30197689
Iraq,Asia - Western,Asia,Middle East & North Africa,1972,18404.02459,59.47,10700247
Ireland,Europe - Northern,Europe,Europe & Central Asia,1972,19061.54579,71.02,3039128
Isle of Man,Europe - Northern,Europe,Europe & Central Asia,1972,18006.64887,,58567
Israel,Asia - Western,Asia,Middle East & North Africa,1972,25573.86445,71.572,3033863
Italy,Europe - Southern,Europe,Europe & Central Asia,1972,24538.54756,72.19,54074032
Jamaica,America - Central,Central and South America,America,1972,14867.77859,68.767,1924871
Japan,Asia - Eastern,Asia,East Asia & Pacific,1972,29557.57273,73.42,106619818
Jersey,Europe - Northern,Europe,Europe & Central Asia,1972,,,70268
Jordan,Asia - Western,Asia,Middle East & North Africa,1972,4221.712618,61.545,1825322
Kazakhstan,Asia - Central,Asia,Europe & Central Asia,1972,13492.81309,63.107,13540301
Kenya,Africa - Eastern,Africa,Sub-Saharan Africa,1972,2444.719936,53.364,12082989
Kiribati,Oceania,Oceania,East Asia & Pacific,1972,10631.76849,52.324,45777
Kuwait,Asia - Western,Asia,Middle East & North Africa,1972,218695.7339,66.692,870446
Kyrgyzstan,Asia - Central,Asia,Europe & Central Asia,1972,5154.651655,61.104,3103694
Latvia,Europe - Northern,Europe,Europe & Central Asia,1972,11911.32375,70.26,2405177
Lebanon,Asia - Western,Asia,Middle East & North Africa,1972,12796.86767,66.565,2597588
Lesotho,Africa - Southern,Africa,Sub-Saharan Africa,1972,993.1631845,49.627,1076100
Liberia,Africa - Western,Africa,Sub-Saharan Africa,1972,1606.010907,40.522,1521565
Libya,Africa - Northern,Africa,Middle East & North Africa,1972,42022.99442,57.995,2169965
Liechtenstein,Europe - Western,Europe,Europe & Central Asia,1972,71087.54099,,22196
Lithuania,Europe - Northern,Europe,Europe & Central Asia,1972,21463.26609,71.26,3204064
Luxembourg,Europe - Western,Europe,Europe & Central Asia,1972,47766.39599,70.71,346805
Macao  China,Asia - Eastern,Asia,East Asia & Pacific,1972,18688.36618,,
Madagascar,Africa - Eastern,Africa,Sub-Saharan Africa,1972,3497.125965,45.735,6909376
Malawi,Africa - Eastern,Africa,Sub-Saharan Africa,1972,1169.243942,41.511,4814073
Malaysia,Asia - South Eastern,Asia,East Asia & Pacific,1972,5698.18956,65.258,11461117
Maldives,Asia - Southern,Asia,South Asia,1972,1438.642758,45.69,123266
Mali,Africa - Western,Africa,Sub-Saharan Africa,1972,1162.737752,33.782,6249101
Malta,Europe - Southern,Europe,Europe & Central Asia,1972,8258.982569,71.045,303123
Marshall Islands,Oceania,Oceania,East Asia & Pacific,1972,11437.45985,,22340
Martinique,America - Central,Central and South America,America,1972,19940.54377,67.019,327918
Mauritania,Africa - Western,Africa,Sub-Saharan Africa,1972,3173.703562,50.046,1201462
Mauritius,Africa - Eastern,Africa,Sub-Saharan Africa,1972,5150.968316,63.534,852981
Mayotte,Africa - Eastern,Africa,Sub-Saharan Africa,1972,,63.588,39955
Mexico,America - Central,Central and South America,America,1972,13618.81338,62.333,55081201
Monaco,Europe - Western,Europe,Europe & Central Asia,1972,42306.8123,,24282
Mongolia,Asia - Eastern,Asia,East Asia & Pacific,1972,2843.48395,56.192,1359478
Montenegro,Europe - Southern,Europe,Europe & Central Asia,1972,15556.82803,70.906,528905
Montserrat,America - Central,Central and South America,America,1972,12152.5027,,11646
Morocco,Africa - Northern,Africa,Middle East & North Africa,1972,3860.38995,53.311,16099392
Mozambique,Africa - Eastern,Africa,Sub-Saharan Africa,1972,1449.835607,40.181,9882427
Myanmar,Asia - South Eastern,Asia,East Asia & Pacific,1972,1450.093558,51.817,27475978
Namibia,Africa - Southern,Africa,Sub-Saharan Africa,1972,7492.161896,53.645,829810
Nauru,Oceania,Oceania,East Asia & Pacific,1972,13877.46086,,6743
Nepal,Asia - Southern,Asia,South Asia,1972,1349.576259,43.268,12472000
Netherlands,Europe - Western,Europe,Europe & Central Asia,1972,33871.14547,73.75,13231426
Netherlands Antilles,Europe - Western,Europe,America,1972,22091.36601,70.046,162504
