Country,Region-Geo,Continent,Region,Year,IncomePerPerson,LifeExpectancy,PopulationTotal
Greece,Europe - Southern,Europe,Europe & Central Asia,1952,6538.624264,65.617,7725959
Greenland,America - North,North America,America,1952,11041.80605,,23982
Grenada,America - Central,Central and South America,America,1952,2763.651376,56.078,77122
Guadeloupe,America - Central,Central and South America,America,1952,5056.530212,52.94,217331
Guam,Oceania,Oceania,East Asia & Pacific,1952,,56.879,61068
Guatemala,America - Central,Central and South America,America,1952,4856.475539,41.845,3333591
Guernsey,Europe - Northern,Europe,Europe & Central Asia,1952,19173.93639,,45725
Guinea,Africa - Western,Africa,Sub-Saharan Africa,1952,1020.392985,32.946,3181059
Guinea-Bissau,Africa - Western,Africa,Sub-Saharan Africa,1952,811.8013011,,537445
Guyana,America - South,Central and South America,America,1952,5492.212945,57.161,439117
Haiti,America - Central,Central and South America,America,1952,3680.733879,37.26,3331968
Holy See,Europe - Southern,Europe,Europe & Central Asia,1952,,,884
Honduras,America - Central,Central and South America,America,1952,4389.852407,41.519,1568190
Hong Kong China,Asia - Eastern,Asia,East Asia & Pacific,1952,6108.842419,,
Hungary,Europe - Eastern,Europe,Europe & Central Asia,1952,10527.34763,64.03,9594893
Iceland,Europe - Northern,Europe,Europe & Central Asia,1952,14535.37686,72.49,148044
India,Asia - Southern,Asia,South Asia,1952,1176.296864,35.843,384822769
Indonesia,Asia - South Eastern,Asia,East Asia & Pacific,1952,1499.363309,37.802,77258010
Iran,Asia - Southern,Asia,Middle East & North Africa,1952,5445.688952,40.294,18153564
Iraq,Asia - Western,Asia,Middle East & North Africa,1952,7714.621131,37.217,6092562
Ireland,Europe - Northern,Europe,Europe & Central Asia,1952,10420.56066,67.2,2923770
Isle of Man,Europe - Northern,Europe,Europe & Central Asia,1952,11305.20221,,54907
Israel,Asia - Western,Asia,Middle East & North Africa,1952,8173.044257,65.128,1451533
Italy,Europe - Southern,Europe,Europe & Central Asia,1952,9862.808311,65.94,47171699
Jamaica,America - Central,Central and South America,America,1952,5797.061761,58.082,1468075
Japan,Asia - Eastern,Asia,East Asia & Pacific,1952,6433.912694,63.03,85174302
Jersey,Europe - Northern,Europe,Europe & Central Asia,1952,,,58085
Jordan,Asia - Western,Asia,Middle East & North Africa,1952,3093.815615,46.064,543439
Kazakhstan,Asia - Central,Asia,Europe & Central Asia,1952,7021.849046,54.859,7041605
Kenya,Africa - Eastern,Africa,Sub-Saharan Africa,1952,1707.081838,42.074,6412384
Kiribati,Oceania,Oceania,East Asia & Pacific,1952,5380.922998,43.289,27158
Kuwait,Asia - Western,Asia,Middle East & North Africa,1952,216764.7057,52.898,174287
Kyrgyzstan,Asia - Central,Asia,Europe & Central Asia,1952,3520.150234,52.598,1791952
Latvia,Europe - Northern,Europe,Europe & Central Asia,1952,6198.819828,61.852,1965231
Lebanon,Asia - Western,Asia,Middle East & North Africa,1952,7989.893702,60.261,1499688
Lesotho,Africa - Southern,Africa,Sub-Saharan Africa,1952,597.6924241,41.864,754883
Liberia,Africa - Western,Africa,Sub-Saharan Africa,1952,1151.145992,33.02,940884
Libya,Africa - Northern,Africa,Middle East & North Africa,1952,4775.09612,36.538,1048211
Liechtenstein,Europe - Western,Europe,Europe & Central Asia,1952,36365.16595,,14133
Lithuania,Europe - Northern,Europe,Europe & Central Asia,1952,11169.7845,64.492,2578052
Luxembourg,Europe - Western,Europe,Europe & Central Asia,1952,28652.27559,65.761,299060
Macao  China,Asia - Eastern,Asia,East Asia & Pacific,1952,4972.281506,,
Madagascar,Africa - Eastern,Africa,Sub-Saharan Africa,1952,2886.02343,36.076,4258186
Malawi,Africa - Eastern,Africa,Sub-Saharan Africa,1952,738.3301604,36.232,2984164
