Region,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Africa,36572,44529,53723,60094,48633,66412,85091,117416,94709,105910,127039,101355,100374,107238,98301,98410,101412,113425
Americas,312160,394779,474112,477092,304990,414523,448689,552056,445806,491742,478034,423726,419996,407169,396598,398063,438433,506894
Asia,203518,270956,357160,349723,250448,342930,411722,440333,397834,399023,413311,422063,451593,429594,400546,430507,419294,462298
Europe,87709,124438,165496,164285,93895,124785,164880,146179,106559,103775,105464,88788,83839,81668,86549,83259,85791,93556
Oceania,3636,5089,6052,5482,4335,5967,6526,7372,6090,5254,5563,5337,4962,4728,5265,5098,5385,5577
All other countries,33,46,49,61,35,43,65,53,23,23,36,26,26,24,27,31,34,31
Unknown,1156,1172,2311,2622,1201,3227,5303,2734,1394,1394,1366,1330,1245,1206,3263,1150,677,1724
Total,644787,841002,1058902,1059356,703542,957883,1122257,1266129,1052415,1107126,1130818,1042625,1062040,1031631,990553,1016518,1051031,1183505
